SITE,DATE,TIME,AMPM,SPECIES,COUNT,ANTLERED,YOUNG,
PM1,,8:06,AM,deer,2,0,2,
PM1,,8:07,AM,deer,3,0,2,
PM1,,8:08,AM,deer,2,0,1,
PM1,,8:11,AM,deer,1,0,0,
PM1,,8:53,AM,deer,1,0,0,
PM1,,8:54,AM,deer,1,0,0,
PM1,,8:55,AM,deer,1,0,0,
PM1,,8:56,AM,deer,1,0,0,
PM1,,6:08,PM,deer,2,0,1,
PM1,,6:09,PM,deer,2,0,1,
PM1,,6:10,PM,deer,2,0,1,
PM1,,6:13,PM,deer,2,0,1,
PM1,,6:14,PM,deer,2,0,1,
PM1,,6:15,PM,deer,3,0,2,
PM1,,6:16,PM,deer,2,0,1,
PM1,,6:17,PM,deer,2,0,1,
PM1,,6:19,PM,deer,1,0,0,
PM1,,6:20,PM,deer,2,0,1,
PM1,,6:21,PM,deer,2,0,1,
PM1,,6:22,PM,deer,3,0,2,
PM1,,6:23,PM,deer,1,0,1,
PM1,,6:24,PM,deer,1,0,1,
PM1,,6:25,PM,deer,2,0,2,
PM1,,6:26,PM,deer,2,0,2,
PM1,,6:27,PM,deer,2,0,2,
PM1,,6:29,PM,deer,2,0,2,
PM1,,6:38,PM,deer,1,0,0,
PM1,,6:40,PM,deer,2,0,1,
PM1,,6:41,PM,deer,1,0,0,
PM1,,6:42,PM,deer,1,0,0,
PM1,,6:43,PM,deer,1,0,0,
PM1,,6:44,PM,deer,1,0,0,
PM1,,6:46,PM,deer,1,0,0,
PM1,10/9,4:16,AM,deer/racoon,1,0,1,
PM1,,4:22,AM,deer/racoon,1,0,0,
PM1,,7:21,AM,deer,2,0,1,
PM1,,7:24,AM,deer,2,0,1,
PM1,,7:25,AM,deer,2,0,1,
PM1,,7:26,AM,deer,2,0,1,
PM1,,7:28,AM,deer,1,0,0,
PM1,,7:30,AM,deer,1,0,0,
PM1,,7:31,AM,deer,2,0,1,
PM1,,7:32,AM,deer,1,0,0,
PM1,,7:33,AM,deer,1,0,0,
PM1,,9:04,AM,deer,2,0,0,
PM1,,7:26,PM,deer,1,0,0,
PM1,,7:27,PM,deer,1,0,0,
PM1,,7:28,PM,deer,1,0,0,
PM1,,7:29,PM,deer,1,0,0,
PM1,,7:30,PM,deer,1,0,0,
PM1,,7:31,PM,deer,1,0,0,
PM1,,7:33,PM,deer,1,0,0,
PM1,,7:34,PM,deer,1,0,0,
PM1,,7:35,PM,deer,1,0,0,
PM1,,7:36,PM,deer,1,0,0,
PM1,,9:21,PM,Racoons,0,0,0,
PM1,10/10,12:33,AM,Racoons,0,0,0,
PM1,,12:36,AM ,Racoons,0,0,0,
PM1,,3:10,AM,deer,1,0,1,
PM1,,3:14,AM,deer/racoons,1,0,0,
PM1,,3:15,AM,deer/racoons,1,0,0,
PM1,,3:16,AM,deer/racoons,1,0,1,
PM1,,3:18,AM,deer/racoons,1,0,1,
PM1,,3:19,AM,deer/racoons,2,0,1,
PM1,,3:20,AM,deer/racoons,2,0,1,
PM1,,3:22,AM,deer/racoons,1,0,0,
PM1,,3:23,AM,deer/racoons,2,0,1,
PM1,,3:24,AM,deer/racoons,2,0,1,
